"TimeStamp","Longitude","Latitude","Current","icon"
"2018-07-06T11:26:55",-84.165039078592,29.559995022,10,"minus"
"2018-07-06T11:26:55",-83.495330826874,28.711484466,34,"minus"
"2018-07-06T11:26:57",-79.93743898242,28.865293026,24,"minus"
"2018-07-06T11:26:57",-82.31933595424,36.89281812,10,"minus"
"2018-07-06T11:26:59",-83.684387223292,29.020383324,178,"minus"
"2018-07-06T11:26:59",-100.168609629614,38.114314434,80,"minus"
"2018-07-06T11:27:01",-78.006286639348,27.584836764,26,"plus"
"2018-07-06T11:27:01",-84.84542848265,26.335142214,34,"minus"
"2018-07-06T11:27:02",-82.879028336856,21.91570959,50,"minus"
"2018-07-06T11:27:02",-94.690246594428,28.207761432,56,"minus"
"2018-07-06T11:27:02",-74.74639894518,40.042048386,22,"minus"
"2018-07-06T11:27:04",-69.280853292802,45.87139281,10,"minus"
"2018-07-06T11:27:04",-93.265380872272,34.16912487,28,"plus"
"2018-07-06T11:27:05",-79.853057878934,28.520505504,36,"minus"
"2018-07-06T11:27:06",-79.941711443356,28.84991217,24,"minus"
"2018-07-06T11:27:07",-74.53277589838,40.333002912,8,"minus"
"2018-07-06T11:27:08",-84.136199967274,27.20287884,20,"minus"
"2018-07-06T11:27:09",-88.580627455948,37.127376174,28,"minus"
"2018-07-06T11:27:09",-88.721618666836,37.147883982,8,"plus"
"2018-07-06T11:27:09",-74.253997822306,40.258662108,48,"minus"
"2018-07-06T11:27:11",-74.587249775314,40.068964884,16,"minus"
"2018-07-06T11:27:12",-85.770416275294,25.390501308,66,"minus"
"2018-07-06T11:27:12",-95.023498547436,28.603818474,14,"minus"
"2018-07-06T11:27:12",-94.913482678334,28.584592404,14,"minus"
"2018-07-06T11:27:12",-95.167694104026,28.48461684,12,"minus"
"2018-07-06T11:27:13",-79.849853533232,28.502561172,12,"minus"
"2018-07-06T11:27:13",-94.553527844476,27.416929086,16,"minus"
"2018-07-06T11:27:13",-86.708221450746,22.123351146,20,"minus"
"2018-07-06T11:27:14",-97.548522960612,24.108763308,46,"minus"
"2018-07-06T11:27:14",-101.35314942412,37.115840532,8,"minus"
"2018-07-06T11:27:14",-97.11273194514,22.081053792,52,"minus"
"2018-07-06T11:27:14",-96.767730724558,20.751891486,128,"minus"
"2018-07-06T11:27:14",-81.776733415368,38.857722474,12,"minus"
"2018-07-06T11:27:15",-72.697753926368,43.600153074,26,"minus"
"2018-07-06T11:27:15",-95.012817395096,25.603269816,64,"minus"
"2018-07-06T11:27:16",-72.651824971306,43.627069572,6,"minus"
"2018-07-06T11:27:17",-100.758209238782,46.75579203,8,"minus"
"2018-07-06T11:27:17",-95.645141613624,26.80554006,18,"minus"
"2018-07-06T11:27:18",-78.59695436375,28.67687754,30,"minus"
"2018-07-06T11:27:19",-74.508209247998,39.845942472,16,"plus"
"2018-07-06T11:27:19",-86.25000001536,21.246642354,46,"plus"
"2018-07-06T11:27:20",-75.236663837586,39.48192888,32,"plus"
"2018-07-06T11:27:20",-74.561615009698,39.82158945,4,"minus"
"2018-07-06T11:27:20",-75.06149293921,39.503718426,14,"minus"
"2018-07-06T11:27:22",-95.092926037646,28.506406386,26,"minus"
"2018-07-06T11:27:22",-84.689483658486,25.212339726,14,"minus"
"2018-07-06T11:27:23",-95.095062268114,28.506406386,28,"minus"
"2018-07-06T11:27:24",-94.52789307886,27.410520396,12,"minus"
"2018-07-06T11:27:26",-77.989196795604,27.397703016,34,"minus"
"2018-07-06T11:27:27",-95.121765148964,28.549985478,10,"minus"
"2018-07-06T11:27:28",-78.81057741055,27.62585238,74,"minus"
"2018-07-06T11:27:29",-79.837036150424,28.526914194,74,"minus"
"2018-07-06T11:27:29",-79.680023211026,28.255185738,32,"plus"
"2018-07-06T11:27:29",-83.442993180408,28.797360912,12,"minus"
"2018-07-06T11:27:30",-99.93789673907,38.024592774,66,"minus"
"2018-07-06T11:27:30",-79.83596803519,28.528195932,8,"minus"
"2018-07-06T11:27:31",-84.534606949556,26.303098764,80,"minus"
"2018-07-06T11:27:32",-95.052337658754,25.64556717,42,"minus"
"2018-07-06T11:27:33",-78.325653094314,27.083677206,16,"minus"
"2018-07-06T11:27:33",-99.981689463664,38.077144032,8,"plus"
"2018-07-06T11:27:33",-94.611206067112,28.10650413,18,"minus"
"2018-07-06T11:27:34",-84.152221695784,27.191343198,30,"minus"
"2018-07-06T11:27:34",-81.020507829696,39.073054458,64,"minus"
"2018-07-06T11:27:34",-81.019439714462,39.173030022,14,"minus"
"2018-07-06T11:27:35",-74.501800556594,42.054377046,12,"minus"
"2018-07-06T11:27:36",-97.965087901872,22.028502534,34,"minus"
"2018-07-06T11:27:37",-79.949188249994,28.861447812,46,"minus"
"2018-07-06T11:27:38",-81.76925660873,38.871821592,16,"minus"
"2018-07-06T11:27:38",-97.42782593917,22.30023099,58,"minus"
"2018-07-06T11:27:39",-74.517822285104,40.162531758,20,"minus"
"2018-07-06T11:27:39",-84.198150650846,29.534360262,20,"minus"
"2018-07-06T11:27:39",-69.39514162284,44.853692838,24,"minus"
"2018-07-06T11:27:39",-96.737823498006,20.609618568,60,"minus"
"2018-07-06T11:27:39",-101.416168222926,37.019710182,26,"plus"
"2018-07-06T11:27:40",-91.877899183306,37.141475292,56,"minus"
"2018-07-06T11:27:40",-96.73889161324,20.60833683,46,"minus"
"2018-07-06T11:27:40",-83.119354264506,21.951598254,56,"minus"
"2018-07-06T11:27:41",-94.72015382098,27.630979332,58,"minus"
"2018-07-06T11:27:42",-101.78039551772,36.878719002,12,"minus"
"2018-07-06T11:27:42",-79.920349138676,28.669187112,174,"minus"
"2018-07-06T11:27:44",-98.320770274794,29.749692246,32,"minus"
"2018-07-06T11:27:46",-95.117492688028,25.571226366,30,"minus"
"2018-07-06T11:27:46",-69.869384786736,44.417901918,28,"minus"
"2018-07-06T11:27:46",-82.316131608538,36.913325928,42,"minus"
"2018-07-06T11:27:47",-82.951660172768,21.9093009,24,"minus"
"2018-07-06T11:27:48",-85.791778579974,25.371275238,54,"minus"
"2018-07-06T11:27:48",-79.944915789058,28.847348694,24,"minus"
"2018-07-06T11:27:48",-100.081024180426,38.178401334,8,"plus"
"2018-07-06T11:27:49",-95.08865357671,28.583310666,32,"minus"
"2018-07-06T11:27:49",-74.568023701102,40.335566388,28,"minus"
"2018-07-06T11:27:51",-78.337402361888,27.069578088,16,"minus"
"2018-07-06T11:27:51",-78.914184588248,27.466916868,12,"minus"
"2018-07-06T11:27:52",-79.844512957062,28.515378552,106,"minus"
"2018-07-06T11:27:52",-79.02420045735,27.505369008,14,"minus"
"2018-07-06T11:27:53",-79.80392457817,28.467954246,24,"minus"
"2018-07-06T11:27:55",-88.72268678207,37.14916572,80,"minus"
"2018-07-06T11:27:55",-83.118286149272,22.283568396,16,"minus"
"2018-07-06T11:27:56",-83.497467057342,28.711484466,36,"minus"
"2018-07-06T11:27:57",-81.958313005148,37.299129066,18,"minus"
"2018-07-06T11:27:57",-95.122833264198,28.498715958,14,"minus"
"2018-07-06T11:27:58",-95.645141613624,26.783750514,66,"minus"
"2018-07-06T11:27:58",-74.563751240166,40.068964884,52,"minus"
"2018-07-06T11:27:59",-95.117492688028,28.501279434,50,"minus"
"2018-07-06T11:28:00",-82.7359008955,22.041319914,14,"plus"
"2018-07-06T11:28:01",-95.138854992708,28.47820815,12,"plus"
"2018-07-06T11:28:02",-95.007476818926,25.61993241,48,"plus"
"2018-07-06T11:28:02",-69.399414083776,44.808832008,8,"minus"
"2018-07-06T11:28:03",-80.133972185476,38.419368078,30,"plus"
"2018-07-06T11:28:04",-97.506866466486,24.13311633,60,"minus"
"2018-07-06T11:28:05",-77.98812868037,27.400266492,34,"minus"
"2018-07-06T11:28:05",-97.612609874652,23.988279936,18,"plus"
"2018-07-06T11:28:05",-101.23565674838,37.308101232,46,"plus"
"2018-07-06T11:28:08",-101.754760752104,36.845393814,12,"minus"
"2018-07-06T11:28:09",-100.213470469442,38.138667456,58,"minus"
"2018-07-06T11:28:10",-78.841552752336,27.693784494,20,"minus"
"2018-07-06T11:28:12",-82.945251481364,22.136168526,92,"minus"
"2018-07-06T11:28:13",-79.858398455104,28.515378552,192,"minus"
"2018-07-06T11:28:13",-94.563140881582,27.372068256,14,"minus"
"2018-07-06T11:28:15",-95.075836193902,28.56792981,26,"minus"
"2018-07-06T11:28:18",-85.777893081932,25.39562826,34,"minus"
"2018-07-06T11:28:18",-101.387329111608,37.124812698,10,"minus"
"2018-07-06T11:28:19",-74.686584492076,40.074091836,32,"minus"
"2018-07-06T11:28:19",-74.482574482382,39.842097258,22,"plus"
"2018-07-06T11:28:19",-74.376831074216,39.912592848,18,"plus"
"2018-07-06T11:28:20",-79.685363787196,28.20904317,12,"minus"
"2018-07-06T11:28:21",-94.454193127714,28.302610044,48,"minus"
"2018-07-06T11:28:21",-94.413604748822,28.583310666,18,"minus"
"2018-07-06T11:28:21",-88.427886977486,37.252986498,22,"minus"
"2018-07-06T11:28:22",-85.597381607386,25.740415782,40,"minus"
"2018-07-06T11:28:22",-86.78405763236,22.222044972,30,"minus"
"2018-07-06T11:28:23",-79.76654054498,28.487180316,86,"minus"
"2018-07-06T11:28:24",-95.007476818926,25.617368934,46,"plus"
"2018-07-06T11:28:24",-84.683074967082,25.21618494,18,"minus"
"2018-07-06T11:28:24",-93.773803723656,27.065732874,32,"plus"
"2018-07-06T11:28:24",-86.241455093488,21.276122328,38,"minus"
"2018-07-06T11:28:25",-95.145263684112,28.35644304,8,"minus"
"2018-07-06T11:28:25",-88.638305678584,37.156856148,14,"plus"
"2018-07-06T11:28:26",-95.14739991458,28.329526542,30,"minus"
"2018-07-06T11:28:26",-94.587707531964,27.85015653,50,"minus"
"2018-07-06T11:28:29",-84.537811295258,26.310789192,50,"minus"
"2018-07-06T11:28:29",-94.983978283778,25.61352372,34,"plus"
"2018-07-06T11:28:30",-94.665679944046,28.064206776,8,"minus"
"2018-07-06T11:28:30",-78.332061785718,27.070859826,34,"minus"
"2018-07-06T11:28:30",-94.546051037838,27.409238658,6,"minus"
"2018-07-06T11:28:31",-95.157012951686,28.451291652,6,"minus"
"2018-07-06T11:28:31",-78.899230974972,27.509214222,14,"minus"
"2018-07-06T11:28:31",-96.6748046992,23.696043672,22,"minus"
"2018-07-06T11:28:32",-78.772125262126,27.646360188,60,"minus"
"2018-07-06T11:28:32",-77.983856219434,27.402829968,36,"minus"
"2018-07-06T11:28:33",-83.121490494974,21.943907826,26,"plus"
"2018-07-06T11:28:33",-95.012817395096,25.580198532,38,"plus"
"2018-07-06T11:28:33",-94.558868420646,27.4207743,22,"minus"
"2018-07-06T11:28:33",-95.073699963434,28.56152112,26,"minus"
"2018-07-06T11:28:34",-81.789550798176,38.843623356,30,"minus"
"2018-07-06T11:28:34",-97.76428223788,29.524106358,4,"minus"
"2018-07-06T11:28:35",-82.27127076871,36.93767895,16,"minus"
"2018-07-06T11:28:36",-85.781097427634,25.394346522,28,"minus"
"2018-07-06T11:28:36",-79.928894060548,28.839658266,18,"minus"
"2018-07-06T11:28:36",-100.223083506548,38.13610398,34,"plus"
"2018-07-06T11:28:37",-69.413299581818,44.808832008,30,"minus"
"2018-07-06T11:28:38",-74.45266725583,42.14153523,28,"plus"
"2018-07-06T11:28:39",-79.922485369144,28.68969492,88,"minus"
"2018-07-06T11:28:40",-77.669830340638,27.547666362,8,"minus"
"2018-07-06T11:28:43",-74.475097675744,39.856196376,26,"minus"
"2018-07-06T11:28:43",-84.929809586136,36.145564866,6,"plus"
"2018-07-06T11:28:44",-79.907531755868,28.84991217,26,"plus"
"2018-07-06T11:28:44",-78.144073504534,27.360532614,36,"minus"
"2018-07-06T11:28:47",-95.180511486834,28.332090018,18,"plus"
"2018-07-06T11:28:48",-74.523162861274,40.280451654,6,"plus"
"2018-07-06T11:28:48",-83.502807633512,28.703794038,48,"minus"
"2018-07-06T11:28:49",-97.857208263238,25.771177494,22,"minus"
"2018-07-06T11:28:49",-93.270721448442,34.167843132,8,"plus"
"2018-07-06T11:28:49",-95.084381115774,28.579465452,32,"minus"
"2018-07-06T11:28:49",-77.9827881042,27.402829968,22,"minus"
"2018-07-06T11:28:50",-79.774017351618,28.480771626,44,"minus"
"2018-07-06T11:28:53",-95.16342164309,28.460263818,16,"plus"
